id,title,overview,poster_path,release_date,runtime,vote_average,genres,backdrop_path,tagline,status,budget,revenue,homepage,popularity,vote_count,Director,Star1,Star2,Star3,Star4,certificate
228,Okuribito,A newly unemployed cellist takes a job preparing the dead for funerals.,"https://m.media-amazon.com/images/M/MV5BMTUzOTcwOTA2NV5BMl5BanBnXkFtZTcwNDczMzczMg@@._V1_UY98_CR0,0,67,98_AL_.jpg",2008,130 min,8.1,"[{'name': 'Drama'}, {'name': 'Music'}]",,,,0,"1,498,210",,68.0,48582,Yôjirô Takita,Masahiro Motoki,Ryôko Hirosue,Tsutomu Yamazaki,Kazuko Yoshiyuki,PG-13
229,Hachi: A Dog's Tale,A college professor bonds with an abandoned dog he takes into his home.,"https://m.media-amazon.com/images/M/MV5BNzE4NDg5OWMtMzg3NC00ZDRjLTllMDMtZTRjNWZmNjBmMGZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR1,0,67,98_AL_.jpg",2009,93 min,8.1,"[{'name': 'Biography'}, {'name': 'Drama'}, {'name': 'Family'}]",,,,0,,,,253575,Lasse Hallström,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer,G
230,Mary and Max,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.","https://m.media-amazon.com/images/M/MV5BMDgzYjQwMDMtNGUzYi00MTRmLWIyMGMtNjE1OGZkNzY2YWIzL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR1,0,67,98_AL_.jpg",2009,92 min,8.1,"[{'name': 'Animation'}, {'name': 'Comedy'}, {'name': 'Drama'}]",,,,0,,,,164462,Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries,
231,How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",2010,98 min,8.1,"[{'name': 'Animation'}, {'name': 'Action'}, {'name': 'Adventure'}]",,,,0,"217,581,231",,75.0,666773,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,U
232,Into the Wild,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","https://m.media-amazon.com/images/M/MV5BMTAwNDEyODU1MjheQTJeQWpwZ15BbWU2MDc3NDQwNw@@._V1_UX67_CR0,0,67,98_AL_.jpg",2007,148 min,8.1,"[{'name': 'Adventure'}, {'name': 'Biography'}, {'name': 'Drama'}]",,,,0,"18,354,356",,73.0,572921,Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden,R
233,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2007,122 min,8.1,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,"74,283,625",,91.0,856916,Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,R
234,Lage Raho Munna Bhai,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,"https://m.media-amazon.com/images/M/MV5BN2ZmMDMwODgtMzA5MS00MGU0LWEyYTgtYzQ5MmQzMzU2NTVkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",2006,144 min,8.1,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"2,217,561",,,43137,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani,U
235,Million Dollar Baby,A determined woman works with a hardened boxing trainer to become a professional.,"https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",2004,132 min,8.1,"[{'name': 'Drama'}, {'name': 'Sport'}]",,,,0,"100,492,203",,86.0,635975,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,UA
236,Hotel Rwanda,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","https://m.media-amazon.com/images/M/MV5BZGJjYmIzZmQtNWE4Yy00ZGVmLWJkZGEtMzUzNmQ4ZWFlMjRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2004,121 min,8.1,"[{'name': 'Biography'}, {'name': 'Drama'}, {'name': 'History'}]",,,,0,"23,530,892",,79.0,334320,Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali,PG-13
237,Taegukgi hwinalrimyeo,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.","https://m.media-amazon.com/images/M/MV5BNjAxZTEzNzQtYjdlNy00ZTJmLTkwZDUtOTAwNTM3YjI2MWUyL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2004,140 min,8.1,"[{'name': 'Action'}, {'name': 'Drama'}, {'name': 'War'}]",,,,0,"1,111,061",,64.0,37820,Je-kyu Kang,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong,R
238,Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_UX67_CR0,0,67,98_AL_.jpg",2004,80 min,8.1,"[{'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"5,820,649",,90.0,236311,Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,R
239,Munna Bhai M.B.B.S.,A gangster sets out to fulfill his father's dream of becoming a doctor.,"https://m.media-amazon.com/images/M/MV5BMzQ4MTBlYTQtMzJkYS00OGNjLTk1MWYtNzQ0OTQ0OWEyOWU1XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_UY98_CR1,0,67,98_AL_.jpg",2003,156 min,8.1,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Musical'}]",,,,0,,,,73992,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh,Sunil Dutt,U
240,Salinui chueok,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","https://m.media-amazon.com/images/M/MV5BOGViNTg4YTktYTQ2Ni00MTU0LTk2NWUtMTI4OTc1YTM0NzQ2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2003,131 min,8.1,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Mystery'}]",,,,0,"14,131",,82.0,139558,Bong Joon Ho,Kang-ho Song,Kim Sang-kyung,Roe-ha Kim,Jae-ho Song,UA
241,Dil Chahta Hai,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.","https://m.media-amazon.com/images/M/MV5BMjRjMTYwMTYtMmRkNi00MmVkLWE0MjQtNmM3YjI0NWFhZDNmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",2001,183 min,8.1,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"300,000",,,66803,Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Preity Zinta,Unrated
242,Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",2003,111 min,8.1,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"70,099,045",,69.0,1000639,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,R
243,Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","https://m.media-amazon.com/images/M/MV5BZTAzNWZlNmUtZDEzYi00ZjA5LWIwYjEtZGM1NWE1MjE4YWRhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",2003,100 min,8.1,"[{'name': 'Animation'}, {'name': 'Adventure'}, {'name': 'Comedy'}]",,,,0,"380,843,261",,90.0,949565,Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould,U
244,Catch Me If You Can,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_UX67_CR0,0,67,98_AL_.jpg",2002,141 min,8.1,"[{'name': 'Biography'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"164,615,351",,75.0,832846,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,A
245,Amores perros,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","https://m.media-amazon.com/images/M/MV5BMjQxMWJhMzMtMzllZi00NzMwLTllYjktNTcwZmU4ZmU3NTA0XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_UY98_CR3,0,67,98_AL_.jpg",2000,154 min,8.1,"[{'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,"5,383,834",,83.0,223741,Alejandro G. Iñárritu,Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,A
246,"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.","https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",2001,92 min,8.1,"[{'name': 'Animation'}, {'name': 'Adventure'}, {'name': 'Comedy'}]",,,,0,"289,916,256",,79.0,815505,Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman,U
247,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,"https://m.media-amazon.com/images/M/MV5BZjJhMThkNTQtNjkxNy00MDdjLTg4MWQtMTI2MmQ3MDVmODUzXkEyXkFqcGdeQXVyMTAwOTA3NzY3._V1_UY98_CR1,0,67,98_AL_.jpg",1997,87 min,8.1,"[{'name': 'Animation'}, {'name': 'Action'}, {'name': 'Drama'}]",,,,0,,,,38847,Hideaki Anno,Kazuya Tsurumaki,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,UA
248,Lagaan: Once Upon a Time in India,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"https://m.media-amazon.com/images/M/MV5BNDYxNWUzZmYtOGQxMC00MTdkLTkxOTctYzkyOGIwNWQxZjhmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",2001,224 min,8.1,"[{'name': 'Adventure'}, {'name': 'Drama'}, {'name': 'Musical'}]",,,,0,"70,147",,84.0,105036,Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh,Rachel Shelley,U
249,The Sixth Sense,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,"https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX67_CR0,0,67,98_AL_.jpg",1999,107 min,8.1,"[{'name': 'Drama'}, {'name': 'Mystery'}, {'name': 'Thriller'}]",,,,0,"293,506,292",,64.0,911573,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,A
250,La leggenda del pianista sull'oceano,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.","https://m.media-amazon.com/images/M/MV5BMzIwOTdmNjQtOWQ1ZS00ZWQ4LWIxYTMtOWFkM2NjODJiMGY4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX67_CR0,0,67,98_AL_.jpg",1998,169 min,8.1,"[{'name': 'Drama'}, {'name': 'Music'}, {'name': 'Romance'}]",,,,0,"259,127",,58.0,59020,Giuseppe Tornatore,Tim Roth,Pruitt Taylor Vince,Mélanie Thierry,Bill Nunn,U
251,The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,"https://m.media-amazon.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",1998,103 min,8.1,"[{'name': 'Comedy'}, {'name': 'Drama'}]",,,,0,"125,618,201",,90.0,939631,Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,U
252,"Crna macka, beli macor",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,"https://m.media-amazon.com/images/M/MV5BMmExZTZhN2QtMzg5Mi00Y2M5LTlmMWYtNTUzMzUwMGM2OGQ3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",1998,127 min,8.1,"[{'name': 'Comedy'}, {'name': 'Crime'}, {'name': 'Romance'}]",,,,0,"348,660",,73.0,50862,Emir Kusturica,Bajram Severdzan,Srdjan 'Zika' Todorovic,Branka Katic,Florijan Ajdini,R
253,The Big Lebowski,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","https://m.media-amazon.com/images/M/MV5BMTQ0NjUzMDMyOF5BMl5BanBnXkFtZTgwODA1OTU0MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",1998,117 min,8.1,"[{'name': 'Comedy'}, {'name': 'Crime'}, {'name': 'Sport'}]",,,,0,"17,498,804",,71.0,732620,Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,R
254,Fa yeung nin wah,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","https://m.media-amazon.com/images/M/MV5BYjZjODRlMjQtMjJlYy00ZDBjLTkyYTQtZGQxZTk5NzJhYmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR1,0,67,98_AL_.jpg",2000,98 min,8.1,"[{'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"2,734,044",,85.0,124383,Kar-Wai Wong,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,Tung Cho 'Joe' Cheung,U
255,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.","https://m.media-amazon.com/images/M/MV5BMzA5Zjc3ZTMtMmU5YS00YTMwLWI4MWUtYTU0YTVmNjVmODZhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1996,93 min,8.1,[{'name': 'Drama'}],,,,0,"16,501,785",,83.0,634716,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd,A
256,Fargo,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1996,98 min,8.1,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,"24,611,975",,85.0,617444,Joel Coen,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi,A
257,Underground,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.","https://m.media-amazon.com/images/M/MV5BNzI4YTVmMWEtMWQ3MS00OGE1LWE5YjMtNjc4NWJmYjRmZTQyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY98_CR0,0,67,98_AL_.jpg",1995,170 min,8.1,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'War'}]",,,,0,"171,082",,,55220,Emir Kusturica,Predrag 'Miki' Manojlovic,Lazar Ristovski,Mirjana Jokovic,Slavko Stimac,
258,La haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"https://m.media-amazon.com/images/M/MV5BNDNiOTA5YjktY2Q0Ni00ODgzLWE5MWItNGExOWRlYjY2MjBlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",1995,98 min,8.1,"[{'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"309,811",,,150345,Mathieu Kassovitz,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,UA
259,Dilwale Dulhania Le Jayenge,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.","https://m.media-amazon.com/images/M/MV5BYmNjYzRlM2YtZTZjZC00ODVmLTljZWMtODg1YmYyNDBiNzU3XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_UY98_CR3,0,67,98_AL_.jpg",1995,189 min,8.1,"[{'name': 'Drama'}, {'name': 'Romance'}]",,,,0,,,,63516,Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri,Farida Jalal,U
260,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","https://m.media-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1995,101 min,8.1,"[{'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"5,535,405",,77.0,272291,Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,R
261,Trois couleurs: Rouge,A model discovers a retired judge is keen on invading people's privacy.,"https://m.media-amazon.com/images/M/MV5BYTg1MmNiMjItMmY4Yy00ZDQ3LThjMzYtZGQ0ZTQzNTdkMGQ1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1994,99 min,8.1,"[{'name': 'Drama'}, {'name': 'Mystery'}, {'name': 'Romance'}]",,,,0,"4,043,686",,100.0,90729,Krzysztof Kieslowski,Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Jean-Pierre Lorit,U
262,Chung Hing sam lam,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.","https://m.media-amazon.com/images/M/MV5BMGQ5MzljNzYtMDM1My00NmI0LThlYzQtMTg0ZmQ0MTk1YjkxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",1994,102 min,8.1,"[{'name': 'Comedy'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"600,200",,77.0,63122,Kar-Wai Wong,Brigitte Lin,Takeshi Kaneshiro,Tony Chiu-Wai Leung,Faye Wong,U
263,Jurassic Park,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_UX67_CR0,0,67,98_AL_.jpg",1993,127 min,8.1,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Sci-Fi'}]",,,,0,"402,453,882",,68.0,867615,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,UA
264,In the Name of the Father,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1993,133 min,8.1,"[{'name': 'Biography'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"25,010,410",,84.0,156842,Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Philip King,UA
265,Ba wang bie ji,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,"https://m.media-amazon.com/images/M/MV5BYmFhZmM3Y2MtNDA1Ny00NjkzLWJkM2EtYWU1ZjEwYmNjZDQ0XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",1993,171 min,8.1,"[{'name': 'Drama'}, {'name': 'Music'}, {'name': 'Romance'}]",,,,0,"5,216,888",,,25088,Kaige Chen,Leslie Cheung,Fengyi Zhang,Gong Li,You Ge,R
266,Dà hóng denglong gaogao guà,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.","https://m.media-amazon.com/images/M/MV5BMjEzNjY5NDcwNV5BMl5BanBnXkFtZTcwNzEwMzg4NA@@._V1_UX67_CR0,0,67,98_AL_.jpg",1991,125 min,8.1,"[{'name': 'Drama'}, {'name': 'History'}, {'name': 'Romance'}]",,,,0,"2,603,061",,,29662,Yimou Zhang,Gong Li,Jingwu Ma,Saifei He,Cuifen Cao,PG
267,Dead Poets Society,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,"https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1989,128 min,8.1,"[{'name': 'Comedy'}, {'name': 'Drama'}]",,,,0,"95,860,116",,79.0,425457,Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,U
268,Stand by Me,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.","https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1986,89 min,8.1,"[{'name': 'Adventure'}, {'name': 'Drama'}]",,,,0,"52,287,414",,75.0,363401,Rob Reiner,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,U
269,Platoon,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","https://m.media-amazon.com/images/M/MV5BMzRjZjdlMjQtODVkYS00N2YzLWJlYWYtMGVlN2E5MWEwMWQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1986,120 min,8.1,"[{'name': 'Drama'}, {'name': 'War'}]",,,,0,"138,530,565",,92.0,381222,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David,A
270,"Paris, Texas","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.","https://m.media-amazon.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_UX67_CR0,0,67,98_AL_.jpg",1984,145 min,8.1,[{'name': 'Drama'}],,,,0,"2,181,987",,78.0,91188,Wim Wenders,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Aurore Clément,U
271,Kaze no tani no Naushika,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"https://m.media-amazon.com/images/M/MV5BZWFkN2ZhODAtYTNkZS00Y2NjLWIzNDYtNzJjNDNlMzAyNTIyXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_UY98_CR1,0,67,98_AL_.jpg",1984,117 min,8.1,"[{'name': 'Animation'}, {'name': 'Adventure'}, {'name': 'Fantasy'}]",,,,0,"495,770",,86.0,150924,Hayao Miyazaki,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya,U
272,The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"https://m.media-amazon.com/images/M/MV5BNGViZWZmM2EtNGYzZi00ZDAyLTk3ODMtNzIyZTBjN2Y1NmM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",1982,109 min,8.1,"[{'name': 'Horror'}, {'name': 'Mystery'}, {'name': 'Sci-Fi'}]",,,,0,"13,782,838",,57.0,371271,John Carpenter,Kurt Russell,Wilford Brimley,Keith David,Richard Masur,A
273,Pink Floyd: The Wall,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,"https://m.media-amazon.com/images/M/MV5BZDhlZTYxOTYtYTk3Ny00ZDljLTk3ZmItZTcxZWU5YTIyYmFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1982,95 min,8.1,"[{'name': 'Drama'}, {'name': 'Fantasy'}, {'name': 'Music'}]",,,,0,"22,244,207",,47.0,76081,Alan Parker,Bob Geldof,Christine Hargreaves,James Laurenson,Eleanor David,UA
274,Fitzcarraldo,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.","https://m.media-amazon.com/images/M/MV5BYjIzNTYxMTctZjAwNS00YzI3LWExMGMtMGQxNGM5ZTc1NzhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1982,158 min,8.1,"[{'name': 'Adventure'}, {'name': 'Drama'}]",,,,0,,,,31595,Werner Herzog,Klaus Kinski,Claudia Cardinale,José Lewgoy,Miguel Ángel Fuentes,R
275,Fanny och Alexander,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.","https://m.media-amazon.com/images/M/MV5BZmQzMDE5ZWQtOTU3ZS00ZjdhLWI0OTctZDNkODk4YThmOTRhL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",1982,188 min,8.1,[{'name': 'Drama'}],,,,0,"4,971,340",,100.0,57784,Ingmar Bergman,Bertil Guve,Pernilla Allwin,Kristina Adolphson,Börje Ahlstedt,A
